Name,URL
Create webhook subscriptionpost,https://developers.miro.com/reference/create-board-subscription
Update webhook subscriptionpatch,https://developers.miro.com/reference/update-board-subscription
Get webhook subscriptionsget,https://developers.miro.com/reference/get-user-subscriptions
Get specific webhook subscriptionget,https://developers.miro.com/reference/get-subscription-by-id
Delete webhook subscriptiondelete,https://developers.miro.com/reference/delete-subscription-by-id
Mind map nodes (experimental),https://developers.miro.com/reference/get-mindmap-node-experimental
Get specific mind map nodeget,https://developers.miro.com/reference/get-mindmap-node-experimental
Delete mind map nodedelete,https://developers.miro.com/reference/delete-mindmap-node-experimental
Get mind map nodesget,https://developers.miro.com/reference/get-mindmap-nodes-experimental
Create mind map nodepost,https://developers.miro.com/reference/create-mindmap-nodes-experimental
Flowchart shapes (experimental),https://developers.miro.com/reference/get-items-experimental
Get items on boardget,https://developers.miro.com/reference/get-items-experimental
Get specific item on boardget,https://developers.miro.com/reference/get-specific-item-experimental
Create shape itempost,https://developers.miro.com/reference/create-shape-item-flowchart
Get shape itemget,https://developers.miro.com/reference/get-shape-item-flowchart
Update shape itempatch,https://developers.miro.com/reference/update-shape-item-flowchart
Delete shape itemdelete,https://developers.miro.com/reference/delete-shape-item-flowchart
Projects,https://developers.miro.com/reference/enterprise-create-project
Create projectpost,https://developers.miro.com/reference/enterprise-create-project
List of projectsget,https://developers.miro.com/reference/enterprise-get-projects
Get projectget,https://developers.miro.com/reference/enterprise-get-project
Update projectpatch,https://developers.miro.com/reference/enterprise-update-project
Delete projectdelete,https://developers.miro.com/reference/enterprise-delete-project
Project Settings,https://developers.miro.com/reference/enterprise-get-project-settings
Get project settingsget,https://developers.miro.com/reference/enterprise-get-project-settings
Update project settingspatch,https://developers.miro.com/reference/enterprise-update-project-settings
Project Members,https://developers.miro.com/reference/enterprise-add-project-member
Add member in a projectpost,https://developers.miro.com/reference/enterprise-add-project-member
List of project membersget,https://developers.miro.com/reference/enterprise-get-project-members
Get project memberget,https://developers.miro.com/reference/enterprise-get-project-member
Update project memberpatch,https://developers.miro.com/reference/enterprise-update-project-member
Remove project memberdelete,https://developers.miro.com/reference/enterprise-delete-project-member
Organizations,https://developers.miro.com/reference/enterprise-get-organization
Get organization infoget,https://developers.miro.com/reference/enterprise-get-organization
Organization Members,https://developers.miro.com/reference/enterprise-get-organization-members
Get organization membersget,https://developers.miro.com/reference/enterprise-get-organization-members
Get organization memberget,https://developers.miro.com/reference/enterprise-get-organization-member
Teams,https://developers.miro.com/reference/enterprise-create-team
Create teampost,https://developers.miro.com/reference/enterprise-create-team
List teamsget,https://developers.miro.com/reference/enterprise-get-teams
Get teamget,https://developers.miro.com/reference/enterprise-get-team
Update teampatch,https://developers.miro.com/reference/enterprise-update-team
Delete teamdelete,https://developers.miro.com/reference/enterprise-delete-team
Team Settings,https://developers.miro.com/reference/enterprise-get-default-team-settings
Get default team settingsget,https://developers.miro.com/reference/enterprise-get-default-team-settings
Get team settingsget,https://developers.miro.com/reference/enterprise-get-team-settings
Update team settingspatch,https://developers.miro.com/reference/enterprise-update-team-settings
Team Members,https://developers.miro.com/reference/enterprise-invite-team-member
Invite team memberspost,https://developers.miro.com/reference/enterprise-invite-team-member
List team membersget,https://developers.miro.com/reference/enterprise-get-team-members
Get team memberget,https://developers.miro.com/reference/enterprise-get-team-member
Update team memberpatch,https://developers.miro.com/reference/enterprise-update-team-member
